Name,Aroma
Admiral (UK),"Pleasant
Resin
Citrus
Orange
Herbal"
Ahtanum,"Citrus
Grapefruit 
Geranium"
Amarillo,"Grapefruit
Orange
Lemon
Melon
Apricot 
Peach"
Apollo,"Citrus
Grapefruit
Orange 
Piney"
Aurora (SI),Noble
Azacca,"Tropical
Fruity 
Citrus"
Bobek (SI),"Intense
Pleasant
Floral 
Piney"
Bramling Cross (UK),"Spicy
Blackcurrant
Loganberry 
Lemon"
Bravo,"Orange
Vanilla 
Floral"
Brewer's Gold (DE),#N/A
Brewer's Gold (US),#N/A
Bullion,"Strong
Blackcurrant"
Calypso,"Pleasant
Fruity
Pear 
Apple"
Cascade,"Medium Intense
Floral
Citrus 
Grapefruit"
Cascade (NZ),#N/A
Cashmere,"Intense
Fruity
Lemon
Lime
Peach
Melon
Coconut
Lemongrass
Candy
Herbal"
Celeia (SI),Noble
Centennial,"Medium Intense
Floral
Citrus 
Grapefruit"
Challenger (UK),"Cedar
Green Tea 
Fruity"
Chelan,"Mild
Floral 
Citrus"
Chinook,"Grapefruit
Spicy
Piney"
Citra,"Grapefruit
Melon
Lime
Gooseberry
Passion Fruit 
Lychee"
Cluster,"Floral
Earthy 
Fruity"
Columbus,"Black Pepper
Licorice
Curry 
Citrus"
Crystal,"Woody 
Green"
Delta,"Mild
Pleasant
Spicy
Citrus"
Dr. Rudi (NZ),#N/A
East Kent Golding (UK),"Floral
Lavender
Spicy
Honey
Earthy
Lemon 
Thyme"
Ekuanot,#N/A
El Dorado,"Pear
Watermelon
Stone Fruit"
Ella (AU),"Grapefruit 
Tropical"
Enigma (AU),#N/A
Eureka,#N/A
First Gold (UK),"Smooth
Tangerine
Orange Marmalade
Apricot
Geranium 
Magnolia"
Fuggle (UK),"Pleasant
Mint
Grassy 
Floral"
Fuggle (US),"Mild
Woody
Grassy
Mint"
Galaxy (AU),"Passion Fruit 
Citrus"
Galena,"Fruity
Pear
Pineyapple
Blackcurrant
Grapefruit
Lime
Gooseberry 
Spicy
Woody"
Gimmli (DE),#N/A
Glacier,"Plum
Blackberry 
Woody"
Golding (SI),#N/A
Golding (US),Floral
Green Bullet (NZ),"Spicy
Fruity
Floral
Pineyy"
Hallertau (US),"Noble
Earthy
Herbal"
Hallertau Mittelfrüh (DE),#N/A
HBC 291,#N/A
Herkules (DE),"Citrus 
Melon"
Hersbrucker (DE),"Hay
Tobacco 
Orange"
Horizon,"Floral Bouquet 
Spicy"
Jarrylo,"White Wine
Strong Lemon Lime
Orange
Pear
Spicy"
Lemondrop,#N/A
Liberty,"Noble
Floral Boquet 
Spicy"
Lublin (PL),#N/A
Magnum (DE),"Apple 
Pepper"
Magnum (US),
Mandarina Bavaria (DE),"Fruity 
Citrus
Tangerine 
Citrus"
Mapuche (AR),#N/A
Melba (AU),#N/A
Merkur (DE),"Sugar
Pineyapple 
Mint"
Millennium,"Resin
Floral
Toffee 
Pear"
Mosaic,"Blueberry
Tangerine
Papaya
Rose
Blossoms
Bubble Gum"
Motueka (NZ),"Citrus
Lime 
Lemon 
Lime
Tropical
Fruity"
Mt. Hood,"Herbal
Pungent 
Spicy"
Mt. Rainier,#N/A
Nelson Sauvin (NZ),"White Wine
Gooseberry 
Grape"
Newport,"Earthy
Citrus
Wine 
Balsamic"
Northdown (UK),"Pleasant
Spicy
Cedar 
Piney
Floral 
Berries"
Northern Brewer (DE),"Mint
Piney 
Grassy"
Northern Brewer (US),"Evergreen
Woody 
Mint"
Nugget,"Mild
Pleasant
Herbal"
Opal (DE),"Spicy
Pepper
Citrus 
Fruity
Floral 
Herbal"
Pacific Gem (NZ),"Spicy
Black Pepper 
Berries
Fruity
Blackberry
Floral
Oak"
Pacific Jade,"Citrus 
Spicy
Herbal
Black Pepper"
Pacifica (NZ),"Citrus
Floral"
Palisade,"Apricot
Grassy 
Floral"
Perle (DE),"Herbal 
Spicy
Floral
Fruit 
Mint"
Perle (US),"Floral 
Spicy"
Phoenix (UK),"Chocolate
Piney
Molasses
Floral"
Pilgrim (UK),"Fruity
Spicy
Lemon
Grapefruit
Pear 
Berries"
Pioneer (UK),"Citrus
Lemon 
Grapefruit
Herbal
Cedar"
Premiant (CZ),"Pleasant
Mild"
Pride of Ringwood (AU),"Pleasant
Cedar
Oak 
Herbal"
Progress (UK),"Grassy
Mint
Sweet
Honey
Blackcurrant"
Rakau (NZ),"Stone Fruit 
Fig
Fruity
Apricot
Piney"
Riwaka (NZ),"Passion Fruit
Grapefruit 
Citrus"
Saaz (CZ),"Mild
Earthy
Herbal 
Floral"
Saaz (US),"Earthy
Spicy"
Santiam,"Black Pepper
Floral 
Spicy"
Saphir (DE),"Spicy
Fruity 
Floral
Tangerine"
Simcoe,"Passion Fruit
Piney
Berries 
Earthy"
Sladek (CZ),#N/A
Smaragd (DE),"Floral
Spicy 
Fruity"
Sorachi Ace,"Lemon
Lime 
Dill"
Spalt (DE),"Noble
Earthy
Spicy
Herbal
Floral"
Spalter Select (DE),"Spicy 
Grassy"
Sterling,"Noble 
Spicy"
Strisselspalt (FR),"Spicy
Citrusy
Floral
Fruity 
Herbal"
Summit,"Pepper
Incense
anise
Orange
Pink Grapefruit 
Tangerine"
Super Galena,"Fruity
Pear
Pineyapple
Blackcurrant
Grapefruit
Lime
Gooseberry 
Spicy Woody"
Target (UK),"Green Sage
Spicy 
Peppery
Citrus
Marmalade"
Taurus (DE),"Earthy
Chocolate 
Banana"
Tettnang (DE),#N/A
Tettnang (US),Noble
Topaz (AU),#N/A
Tradition (DE),"Intense
Floral
Herbal 
Grassy
Fruity"
Ultra,"Mild
Spicy 
Bouquet"
Vanguard,"Woody
Cedar"
Vic Secret (AU),#N/A
Waimea (NZ),"Piney 
Citrus
Tangelo"
Wakatu (NZ),"Floral
Lime"
Warrior,"Mild
Resin
Piney"
Whitbread Golding Variety (UK),#N/A
Willamette,"Floral
Incense
Elderberry"